date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
1991-01-01,-7.673742533,0.0,-16.04409615,47.81697226,151.4830729,175.5423075,4.591721937,56443.04886,-7.859564066,0,0.92,0.001,0.17
1991-01-02,-9.876592755,0.0,-19.0382161,42.58145714,168.2096354,152.6821313,3.360139132,56481.81229,-9.146955609,0,0.92,0.001,0.17
1991-01-03,-13.1350956,0.0,-21.5166792,47.75188494,157.7955729,143.054094,2.788741797,56606.10657,-10.26197636,0,0.92,0.001,0.17
1991-01-04,-16.42498207,0.0,-29.9362155,26.94483757,183.7565104,121.211611,1.078181103,57039.78271,-12.28747377,0,0.92,0.001,0.17
1991-01-05,-14.25782585,0.0,-26.15991213,32.08959246,173.8346354,138.7530388,2.043186814,56915.75241,-10.67455876,0,0.92,0.001,0.17
1991-01-06,-12.87785149,0.0,-24.52238125,35.74765587,181.8658854,133.63397,1.347293541,57013.45825,-9.614294171,0,0.92,0.001,0.17
1991-01-07,-11.7828505,0.0,-24.91419265,32.97431374,181.8463542,135.58026,1.426033407,57066.16974,-9.084409833,0,0.92,0.001,0.17
1991-01-08,-8.316011667,0.0,-19.3645942,38.66700029,171.7473958,174.2909083,2.504124612,56821.06247,-5.831888318,0,0.92,0.001,0.17
1991-01-09,-10.47056019,0.0,-18.34214695,47.91757488,177.2565104,141.6283888,3.365966618,56761.59439,-7.488145947,0,0.92,0.001,0.17
1991-01-10,-14.46497154,0.0,-34.075319,23.46674514,187.5533854,118.6365808,1.413483232,56942.71774,-10.10583317,0,0.92,0.001,0.17
1991-01-11,-14.47904778,0.0,-26.58232125,30.98007202,186.1966146,127.4570536,2.423993021,56812.07886,-9.751001477,0,0.92,0.001,0.17
1991-01-12,-14.21758842,0.0,-23.76323663,40.47742462,185.8216146,135.1174904,2.069837004,56650.87891,-9.351125836,0,0.92,0.001,0.17
1991-01-13,-14.30576134,0.0,-23.453961,42.23153114,186.0286458,128.702566,2.478266537,56769.16809,-10.30681813,0,0.92,0.001,0.17
1991-01-14,-14.30909538,0.0,-27.74195625,30.67521548,188.0807292,122.743073,3.472775877,56656.51245,-11.36435521,0,0.92,0.001,0.17
1991-01-15,-13.79154015,0.0,-31.82644725,20.8714788,190.2291667,116.7658551,2.557740867,56957.09076,-11.92400563,0,0.92,0.001,0.17
1991-01-16,-15.72546577,0.0,-27.82165375,34.97025728,193.2148438,126.0610068,1.313777871,57129.81186,-12.06580934,0,0.92,0.001,0.17
1991-01-17,-12.92791939,0.0,-25.16229998,33.37675095,175.921875,153.1891854,2.155849844,56861.88736,-9.581197858,0,0.92,0.001,0.17
1991-01-18,-13.41184425,0.0,-26.11081955,35.52058434,192.8554688,138.0681538,2.115864158,56786.86829,-10.16443074,0,0.92,0.001,0.17
1991-01-19,-11.98218346,0.0,-24.65675525,31.28149176,167.6041667,139.8818379,3.169647098,56470.20645,-10.75284398,0,0.92,0.001,0.17
1991-01-20,-13.07885933,0.0,-32.10401115,20.44602215,189.4700521,136.436845,2.189369887,56546.28296,-10.83400929,0,0.92,0.001,0.17
1991-01-21,-12.44083214,0.0,-21.17056875,44.58428097,182.8203125,153.5911813,2.273795128,56424.0593,-10.00192082,0,0.92,0.001,0.17
1991-01-22,-15.24309349,0.0,-27.30607825,36.10933256,188.3007813,123.9555829,3.636446893,56683.96454,-12.96879397,0,0.92,0.001,0.17
1991-01-23,-14.22437096,0.0,-24.1718898,40.36082745,199.9010417,135.5995448,2.200155854,56628.05557,-10.86156285,0,0.92,0.001,0.17
1991-01-24,-12.97901344,0.0,-25.938002,30.58964443,200.6601563,125.6663465,2.504109159,56849.87717,-10.7451421,0,0.92,0.001,0.17
1991-01-25,-12.3985883,0.0,-24.15836325,34.21047878,201.5729167,133.0216213,2.728376135,57187.58316,-10.3267194,0,0.92,0.001,0.17
1991-01-26,-10.16926408,0.0,-25.81795413,23.62444353,200.6315104,142.7715571,1.654257342,57556.7688,-8.911546826,0,0.92,0.001,0.17
1991-01-27,-8.26197648,0.0,-26.03273925,22.04637218,202.6653646,149.794635,2.560526907,57656.31104,-6.817400098,0,0.92,0.001,0.17
1991-01-28,-8.536447763,0.0,-23.2359081,30.06925988,203.4192708,158.5138404,1.364014246,57451.62811,-5.408704877,0,0.92,0.001,0.17
