satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo,date
-27.690209,0.0,-30.73703308,0.750846101,0.004061047,187.5411515,4.405216305,103155.9722,,0,0.92,0.001,0.17,2000/1/1
-31.40075848,0.0,-34.6036467,0.731729885,0.00396875,173.5175346,3.92335197,103467.9979,,0,0.92,0.001,0.17,2000/1/2
-33.10472354,0.0,-36.28621167,0.729527569,0.003880556,169.3137487,2.967782993,103626.4259,,0,0.92,0.001,0.17,2000/1/3
-31.90055048,0.0,-35.01736217,0.736955398,0.0040625,162.3892,1.642666355,103735.4919,,0,0.92,0.001,0.17,2000/1/4
-31.79957458,0.0,-34.7860624,0.746743243,0.003976064,161.5165865,1.378807498,104120.4484,,0,0.92,0.001,0.17,2000/1/5
-34.76624606,0.0,-37.60299475,0.751824171,0.004498698,160.1776561,2.761748072,103960.9512,,0,0.92,0.001,0.17,2000/1/6
-36.03855566,0.0,-38.928369,0.7450354,0.004498698,154.4352958,2.39204806,103845.5396,,0,0.92,0.001,0.17,2000/1/7
-37.55701025,0.0,-40.43555368,0.742691203,0.004498698,152.377797,2.628965095,103888.9942,,0,0.92,0.001,0.17,2000/1/8
-35.15865651,0.0,-38.15717344,0.738660676,0.005385417,152.2254569,1.548705186,103310.4639,,0,0.92,0.001,0.17,2000/1/9
-36.04909008,0.0,-38.90732442,0.747439713,0.007542969,158.8570567,2.7404657,102486.2106,,0,0.92,0.001,0.17,2000/1/10
-36.24653164,0.0,-39.22228546,0.73797727,0.006257813,164.9871001,3.486666653,102067.8962,,0,0.92,0.001,0.17,2000/1/11
-37.48445279,0.0,-40.63501501,0.72184262,0.007690104,163.6425865,3.411539891,101481.8985,,0,0.92,0.001,0.17,2000/1/12
-39.25935751,0.0,-42.42060415,0.7168393,0.008549479,157.6582986,3.970843257,100388.819,,0,0.92,0.001,0.17,2000/1/13
-34.86576036,0.0,-38.07958835,0.723247883,0.014742188,164.522465,5.777613284,100100.2375,,0,0.92,0.001,0.17,2000/1/14
-35.21829056,0.0,-38.47677193,0.719021921,0.01921254,150.3320512,6.34439315,100357.8276,,0,0.92,0.001,0.17,2000/1/15
-37.04936024,0.0,-40.16449842,0.7255687,0.022168028,150.6153021,5.835293207,100912.2554,,0,0.92,0.001,0.17,2000/1/16
-39.45207832,0.0,-42.6894512,0.71055451,0.026045618,147.7688404,4.361663317,101360.2115,,0,0.92,0.001,0.17,2000/1/17
-41.14604126,0.0,-44.38936811,0.705956638,0.030708203,144.1143194,3.729677716,101666.2169,,0,0.92,0.001,0.17,2000/1/18
-43.40250525,0.0,-46.47479528,0.713788501,0.036104337,140.2511512,3.775500371,101897.9867,,0,0.92,0.001,0.17,2000/1/19
