date,QE,QH,RTS0,Lstar,RA
2000-01-01,2.60399014479088,-3.83830315789601,-27.88342160525613,-362.994357545172,(73.95336189951823+0j)
2000-01-02,1.80588238291166,-5.56411072296123,-31.707120283944278,-175.602712090829,(82.38108395264575+0j)
2000-01-03,1.30146485160831,-4.30652695093340,-33.41290126674829,-99.4552934311991,(107.99388254448873+0j)
2000-01-04,0.538364844464260,-10.8243711864420,-33.28899089803386,-6.73562834915594,(192.81167738628235+0j)
2000-01-05,0.502675854795492,-11.7911059317460,-33.243948997341164,-5.08677613663928,(184.7399959371213+0j)
2000-01-06,1.07480683546704,-8.04734350407489,-35.23097294413162,-64.4635833257122,(88.04132483655098+0j)
2000-01-07,0.647712585225110,-8.98360108183033,-36.80473908132379,-25.6488275830059,(130.5765967209113+0j)
2000-01-08,0.695641319241223,-7.52773875594494,-38.108210530777114,-43.9496499263901,(112.87552714405105+0j)
2000-01-09,0.349569100331379,-11.3462000711013,-36.640976448278536,-5.61235836801350,(198.25419518297215+0j)
2000-01-10,1.00121086523561,-6.00883587974977,-36.40792221634814,-81.2294173578701,(90.2362264558398+0j)
2000-01-11,1.17335087776105,-0.428070812309670,-36.27219849281485,-1916.72526920042,(90.30721927883846+0j)
2000-01-12,1.11213347498603,1.38627460609678,-37.39662584934402,421.827978013673,(95.37151825088863+0j)
2000-01-13,0.961686252080260,0.504582564021803,-39.22879712794588,1460.05293545332,90.8754889134374
2000-01-14,1.65391981237386,-4.73417976566816,-35.06719772504778,-540.796905596718,62.4860106387945
2000-01-15,1.55545574455476,-16.7705066943035,-35.79925856799082,-234.701454578854,(51.080211006016064+0j)
2000-01-16,1.29546612697801,-11.5924798750057,-37.47723140724696,-268.739319053335,(55.14817465173462+0j)
2000-01-17,0.940210304928745,-7.75031680529719,-39.82980146386586,-168.298909642293,(73.89490932143626+0j)
2000-01-18,0.735042605797290,-6.75274897241798,-41.52458098267448,-122.196454091495,(85.87363447293733+0j)
2000-01-19,0.596724045600689,-4.97867646413670,-43.673232502205906,-174.013217377379,(84.31029551110362+0j)
2000-01-20,0.601197769609511,-6.42207798540767,-43.44353626790141,-139.317191315157,(83.76839614321423+0j)
2000-01-21,0.863921017146449,-3.22836384097627,-41.55825420130088,-416.605118814352,(73.2869638291731+0j)
2000-01-22,2.42202119615486,4.92953287686487,-32.95815444422928,598.119572074109,(55.808080868674075+0j)
2000-01-23,6.37123203258677,6.58687728758196,-21.539435736265943,972.931754174409,44.9498228753642
2000-01-24,7.45744654339850,-5.91647701876173,-18.675407948609802,-1995.77482837740,38.3451546040944
2000-01-25,4.69702374864631,-11.0719840392640,-23.08526752533416,-530.584676483043,(45.02335045212174+0j)
2000-01-26,2.11685159835798,-13.8745331398613,-28.828209457212523,-151.478529370933,(62.87841331126259+0j)
2000-01-27,2.08965254929457,-8.52558983758627,-29.253607026814592,-193.699415135690,(68.02391141530764+0j)
2000-01-28,3.90971162091562,-16.3041126083390,-26.63139528891398,-493.772232716079,(40.26849560940515+0j)
2000-01-29,6.86810908597781,-7.80104425411446,-22.67195560201145,-2557.79512494818,(30.21079929473014+0j)
2000-01-30,5.78571399842837,-8.99746267257979,-21.66017478390441,-885.214586552459,(40.83596547189016+0j)
2000-01-31,5.39129672796967,-3.72892349280482,-22.3581994314645,-1589.21075265996,(45.88413400209861+0j)
2000-02-01,4.56389435915106,-4.51002753142075,-23.179522705702027,-762.391423116846,(54.57016921459923+0j)
2000-02-02,7.86700534703166,1.88162692086553,-20.017830234370848,5384.34974735495,(34.43114296676231+0j)
2000-02-03,7.35695824346475,-17.7854725977904,-20.76577677641663,-479.492636088568,41.9548414905087
2000-02-04,6.34821083925030,-12.0692240538638,-21.716384355329183,-504.458052973818,(44.62196143152819+0j)
2000-02-05,4.07627031609113,-11.4082864550592,-24.606664627854286,-302.577109451847,(53.786392366448005+0j)
2000-02-06,2.91803795675609,-24.2532988013463,-27.4760346959917,-112.070397017847,(57.86536856638846+0j)
2000-02-07,1.86947787114685,-14.9277143272539,-31.437029485977206,-92.0424252367882,(72.04325757055109+0j)
2000-02-08,1.41115456126561,-5.78761159728447,-33.258053878281544,-73.8535536351775,(106.26362677851019+0j)
2000-02-09,1.67297592211518,0.332203807372935,-30.93192958023394,883.211947061029,(109.60583167877164+0j)
2000-02-10,1.62579582927564,1.40890618248886,-29.04098093869996,229.305030451836,121.481967346470
2000-02-11,1.54342528630864,1.57493871387760,-29.420808310163636,139.693888420650,138.521176358162
2000-02-12,2.06147343087548,2.78109314467656,-28.08596907400039,107.394024261725,125.655931607303
2000-02-13,1.78273804364162,0.0959524567015251,-27.042934322502845,672.914786314209,165.335675202582
2000-02-14,0.967474426839062,-5.82880305342042,-30.28260154780594,-28.4937458527054,155.723726043319
2000-02-15,1.82164380623811,-6.15665351762436,-29.645304236622792,-133.172154800669,(83.45510778657497+0j)
2000-02-16,1.51251326359599,-0.114699005974671,-31.92815928965598,-10106.7617504942,(126.34420744717895+0j)
2000-02-17,1.04002889993287,1.69088348862783,-33.697689698179516,33.0603409930661,(209.8598440020372+0j)
2000-02-18,0.873433559956954,-1.23369529718616,-31.34712801496144,-36.6587559111254,241.949459311415
2000-02-19,2.18438555437544,-3.57848644102432,-29.76816502583219,-339.277735177471,(74.45682382477169+0j)
2000-02-20,1.85402277207261,-3.70226246630227,-30.334201228312338,-210.695305141854,(88.73995067903734+0j)
2000-02-21,1.25224186135998,-3.93096064926567,-32.63677460152897,-101.031100099691,(110.39349467360002+0j)
2000-02-22,1.50511960416267,-3.99988738947332,-32.872275974479464,-195.264578680346,(87.55293248022848+0j)
2000-02-23,1.23594106552223,-1.66636799627850,-33.158767029787214,-193.700622962800,(119.12982490581535+0j)
2000-02-24,0.942558202700513,-1.96793731073421,-34.92203302593248,-109.287879214236,(135.60136976782013+0j)
2000-02-25,0.620795369910068,-0.371077425229259,-37.01676741004053,-216.480480279064,(192.15223400940548+0j)
2000-02-26,0.828591080896842,4.21255135300225,-37.66884972686577,45.6945737193876,(139.31273575460204+0j)
2000-02-27,1.12624885281506,9.54682869921635,-37.44312568692922,44.2587801975164,113.046743009413
2000-02-28,1.16421794048197,9.16292123292260,-35.916705906812325,34.6987128123859,123.783314866898
