QE,QH,RTS0,Lstar,snd
-26.25390049,-55.5343616,-0.005899397,190.7159652,0
-2.403881155,-24.18014651,1.384576903,396.4879016,0
-1.771589844,-18.8769208,1.33934473,313.5604708,0
5.048642588,-5.698729417,0.587471869,-8569.37667,0
26.63245548,17.95489185,-1.10716005,-104.3517864,0
45.80903866,45.0893153,-2.122104506,-30.86232306,0
47.96546869,54.05268601,-1.949750226,-15.29819331,0
42.23361067,46.88599111,-1.416552124,-11.96580971,0
27.99386228,24.82177187,-1.324408522,-11.14342297,0
27.01913103,19.78815752,-0.459383043,-28.60618499,0
27.78925259,19.74410037,-0.733217512,-111.9161617,0
36.98211341,31.15351499,-1.91055848,-156.8008486,0
51.25410441,51.68505355,-3.422737778,-179.0146487,0
36.24827751,30.94699827,-5.612965594,-437.1150598,0
27.85606631,17.63285877,-6.845087952,-799.8009002,0
22.25370129,3.593647618,-7.251259566,15021.8268,0
22.7856059,-4.334460656,-6.102586556,50289.21409,0
37.45125347,16.50140624,-5.085133437,-315.9910696,0
35.63980098,27.01625547,-6.003906301,-239.8618433,0
23.46990886,10.82962651,-7.620807739,-1036.42936,0
11.54365386,-7.800965117,-7.984699517,201.571847,0
4.890947216,-15.37555925,-7.357155867,159.628456,0
0.589194148,-18.39969273,-6.667170208,142.1663226,0
-0.642179687,-20.06421639,-5.721384668,222.1126758,0
9.424715829,-9.47966184,-4.670940163,-3601.292306,0
23.72064745,7.047250503,-4.176075507,-425.7697217,0
23.94418176,9.139233022,-4.841765698,-845.5208611,0
13.56492684,-5.694497125,-5.887537865,344.2883406,0
8.867433889,-13.09461128,-6.085708202,225.8222463,0
8.871440896,-9.404948322,-6.478194892,274.5082688,0
7.873820592,-6.235992235,-7.42916766,455.2310735,0
7.1921398,-3.299427968,-7.926278219,821.315251,0
5.652129917,-3.852904805,-6.89386219,577.5613313,0
10.75470961,4.715995117,-4.693802905,-50.37284784,0
15.19765161,16.47454582,-4.934501546,-20.20587951,0
11.38840402,15.18812288,-7.305187704,-23.46939794,0
5.112260993,3.816036657,-8.131013908,108.3735493,0
1.371437771,-3.511114513,-7.427593532,27.25219759,0
-0.680241074,-6.713737662,-6.686151346,17.554603,0
-1.568933148,-7.864099772,-5.818894547,22.37937414,0
-0.810767095,-10.0723329,-4.41128849,160.3708171,0
8.406141746,-3.071045487,-2.732732793,-1179.447944,0
12.49886213,2.532420421,-2.814232688,-1814.28084,0
6.250171042,-4.222348846,-4.026049956,460.9382911,0
4.08295868,-10.95298986,-4.44566164,589.1462582,0
10.09253455,-7.309822249,-4.636869826,2631.454978,0
14.98676802,-5.855787737,-5.506579836,2874.730088,0
15.90144444,-10.45807991,-6.140728032,2187.744352,0
20.28556881,-7.022653534,-6.127184367,50018.70802,0
22.40235654,-4.158210743,-5.830570879,4624.486722,0
17.25264352,-10.74115072,-5.444516141,1344.614789,0
11.32946987,-17.35928024,-4.819495904,1037.217352,0.032390488
9.022321184,-17.8093995,-4.307378133,949.6808141,0.035593036
5.223611499,-17.98605574,-3.483543732,682.0832503,0.038427729
-0.523584456,-17.37353554,-2.421871443,366.1397281,0.04080681
-4.49315534,-15.81940862,-1.573786841,190.8107351,0.042183736
-4.664741147,-13.72581269,-1.236610308,102.8337786,0.042957635
-3.495188531,-9.931824894,-1.23607919,29.52725875,0.043790264
-1.890460789,-4.57953796,-1.09527951,7.799228855,0.045663466
-0.562192442,-1.411506917,-1.942291202,1.44032277,0.048884658
0.092137279,-0.721995648,-2.77643871,31.73613538,0.051744293
0.862353426,-1.714150584,-4.185946864,124.2938592,0.053399365
2.514979082,-2.693097888,-5.186765064,259.5191508,0.054291248
3.544255207,-4.506542745,-5.911536416,174.3983576,0.054521759
4.075869526,-11.23055121,-5.832543066,464.1938278,0.054499699
1.06E+01,-9.605640833,-6.079234127,4489.147393,0.05534053
1.39E+01,-1.12E+01,-6.29948872,1833.06191,0.058310406
5.19E+00,-1.91E+01,-3.804336258,837.2963886,0.061871
2.26E+00,-19.86981236,-1.899070281,722.652866,0.063885033
6.20E+00,-15.57032373,-2.242171408,1113.970367,0.064699854
1.01E+01,-13.01018737,-3.549451238,1444.249012,0.065229224
1.38E+01,-1.04E+01,-4.938301566,1949.387124,0.065695692
1.41E+01,-1.14E+01,-6.514233948,9.70E+02,0.065805934
1.09E+01,-1.42E+01,-7.525394143,4.50E+02,0.065819091
7.73E+00,-1.33E+01,-8.307171026,278.1007781,0.065917236
6.15E+00,-9.33E+00,-8.735919277,666.2994144,0.066527713
4.043146259,-8.97757669,-7.31868025,372.7828618,0.069650673
-1.936336462,-12.14616966,-4.126949361,188.8899109,0.074020811
-3.36244471,-11.2684174,-1.455237648,349.098552,0.076282426
-1.771000173,-9.192358559,-1.335969558,462.7557696,0.077246438
-0.767959011,-7.215220139,-1.507373234,150.978338,0.07826584
-1.024357417,-5.393020044,-1.845470338,48.9584639,0.07938803
-0.809242192,-3.384495805,-2.249129625,25.86865695,0.080965388
0.343027455,-3.54393227,-2.789831694,289.3518183,0.082736773
1.328675491,-5.142468169,-3.057335992,260.4717472,0.084708526
6.02694655,-3.125898754,-3.745915561,4852.285723,0.087350121
11.24140837,-3.2855505,-5.538880666,2165.727076,0.09017989
10.21110947,-7.435337418,-7.362045626,619.8015665,0.091949173
8.150485068,-12.12123949,-8.325782049,342.1159527,0.092329916
8.451271471,-12.06548561,-9.040921327,450.4397,0.092463831
7.991234234,-9.172681186,-10.29623262,340.4160682,0.092701392
6.279437838,-9.547606624,-11.64685661,275.7410514,0.092806126
5.38166231,-9.696787632,-12.48716501,203.1210884,0.092827411
4.714881447,-10.15642936,-13.08804582,162.6076609,0.092771438
4.086589426,-12.17260163,-13.49803852,121.8357567,0.092722925
3.196895703,-13.85726744,-13.440773,100.7186214,0.092844221
2.261100549,-15.21236619,-12.72263975,77.27928004,0.092980255
2.175523762,-15.46764663,-11.48090157,125.8911817,0.093161869
2.687977901,-13.7464493,-10.63338384,165.1700457,0.093611527
2.826787879,-11.70797443,-10.27910358,244.7616134,0.094202406
4.484052293,-6.710682782,-10.03695867,368.1246868,0.094695358
4.874685838,-4.150193757,-10.48649427,254.5799,0.094965992
3.885167422,-3.783105259,-11.28551176,171.8914291,0.095181653
3.265348597,-2.464446939,-12.21701047,172.3352013,0.095323388
2.081942278,-4.257174431,-12.79219764,37.21386302,0.095354277
1.692643228,-4.229739835,-12.6914811,42.88687167,0.095333322
2.424379649,-0.601590792,-13.18553246,-68.74724627,0.095303308
2.682392418,1.796721016,-14.41062277,-33.1690865,0.095270099
0.793376719,-1.601127237,-15.41632621,0.432426151,0.095260277
-0.130437656,-2.268648597,-16.50926896,2.087150481,0.095261892
0.452005851,-4.144166973,-16.56119869,28.74687644,0.095256296
1.812441424,-1.439931781,-16.47591869,-260.6169905,0.095233858
1.290184871,-1.405733445,-16.35092829,5.985879969,0.095217885
1.149575477,-1.015773333,-16.16106376,-167.5957771,0.095203653
2.284882981,0.950133155,-16.55618697,-102.5059688,0.095175366
2.388611368,1.157524328,-17.05500647,-97.77078195,0.095145794
2.202341991,2.004619322,-17.32537744,-26.68037763,0.095118529
2.446205378,3.83753866,-17.6934955,-28.24793198,0.095088244
2.78587038,4.067351345,-17.653074,-49.53027719,0.095053755
2.999592243,3.321597522,-17.04185616,-117.5857786,0.095128907
1.79469489,-3.69831474,-15.89940944,56.77170878,0.095222583
2.21738135,-6.866315654,-14.42668828,120.2979107,0.095195062
3.02786113,-5.597810558,-14.21329434,132.8694094,0.095157482
3.052680026,-5.200145472,-14.51233222,109.5514981,0.095247632
2.430697938,-7.755085977,-14.21847552,91.18262146,0.09534959
2.78718567,-7.552448079,-13.62155754,99.6622785,0.095436578
2.814627075,-8.225729189,-13.95897268,97.09204918,0.095558344
2.856905175,-10.8414864,-14.25132701,93.37190892,0.095585145
3.308537432,-14.68049888,-13.38347401,319.1628748,0.095574994
6.073435862,-9.900718389,-12.19246246,728.5685193,0.096065975
7.673487814,-5.851985571,-12.20402859,955.7252284,0.096959577
8.305102814,-5.302366349,-12.41219242,921.2362792,0.097524795
7.531765281,-7.772826852,-11.98823338,512.1770862,0.098048742
7.337490189,-7.402575742,-11.59827251,572.3949275,0.098564456
7.023576961,-6.531158017,-12.20422859,429.9479892,0.098835881
